antecedents,antecedent support,consequents,consequent support,support,confidence,lift,rule
Bakery | Beverages | Dairy & Eggs | Produce,0.08220576972172582,Meat & Seafood | Pantry,0.0898646923666071,0.02195557824865969,0.2670807453416149,2.9720320440429133,"Bakery, Beverages, Dairy & Eggs, Produce -> Meat & Seafood, Pantry"
Meat & Seafood | Pantry,0.0898646923666071,Bakery | Beverages | Dairy & Eggs | Produce,0.08220576972172582,0.02195557824865969,0.24431818181818182,2.9720320440429133,"Meat & Seafood, Pantry -> Bakery, Beverages, Dairy & Eggs, Produce"
Beverages | Dairy & Eggs | Meat & Seafood,0.11220321674751085,Bakery | Pantry | Produce,0.06650497829971917,0.02195557824865969,0.1956769055745165,2.9422895936099085,"Beverages, Dairy & Eggs, Meat & Seafood -> Bakery, Pantry, Produce"
Bakery | Pantry | Produce,0.06650497829971917,Beverages | Dairy & Eggs | Meat & Seafood,0.11220321674751085,0.02195557824865969,0.33013435700575816,2.942289593609908,"Bakery, Pantry, Produce -> Beverages, Dairy & Eggs, Meat & Seafood"
Dairy & Eggs | Meat & Seafood | Pantry,0.07199387286188409,Bakery | Beverages | Produce,0.10543783507786571,0.02195557824865969,0.30496453900709225,2.8923634365394197,"Dairy & Eggs, Meat & Seafood, Pantry -> Bakery, Beverages, Produce"
Bakery | Beverages | Produce,0.10543783507786571,Dairy & Eggs | Meat & Seafood | Pantry,0.07199387286188409,0.02195557824865969,0.20823244552058115,2.8923634365394197,"Bakery, Beverages, Produce -> Dairy & Eggs, Meat & Seafood, Pantry"
Bakery | Dairy & Eggs | Pantry,0.0762062803165688,Beverages | Meat & Seafood | Produce,0.10020423793719684,0.02195557824865969,0.288107202680067,2.875199778083624,"Bakery, Dairy & Eggs, Pantry -> Beverages, Meat & Seafood, Produce"
Beverages | Meat & Seafood | Produce,0.10020423793719684,Bakery | Dairy & Eggs | Pantry,0.0762062803165688,0.02195557824865969,0.21910828025477708,2.875199778083624,"Beverages, Meat & Seafood, Produce -> Bakery, Dairy & Eggs, Pantry"
Beverages | Dairy & Eggs | Meat & Seafood | Produce,0.07824865968853714,Bakery | Pantry,0.09828950727597652,0.02195557824865969,0.2805872756933116,2.854702230884939,"Beverages, Dairy & Eggs, Meat & Seafood, Produce -> Bakery, Pantry"
Bakery | Pantry,0.09828950727597652,Beverages | Dairy & Eggs | Meat & Seafood | Produce,0.07824865968853714,0.02195557824865969,0.22337662337662337,2.854702230884939,"Bakery, Pantry -> Beverages, Dairy & Eggs, Meat & Seafood, Produce"
Beverages | Meat & Seafood | Pantry,0.05374010722491703,Bakery | Dairy & Eggs | Produce,0.14768955833546082,0.02195557824865969,0.4085510688836105,2.766282691127229,"Beverages, Meat & Seafood, Pantry -> Bakery, Dairy & Eggs, Produce"
Bakery | Dairy & Eggs | Produce,0.14768955833546082,Beverages | Meat & Seafood | Pantry,0.05374010722491703,0.02195557824865969,0.14866032843560933,2.766282691127229,"Bakery, Dairy & Eggs, Produce -> Beverages, Meat & Seafood, Pantry"
Bakery | Beverages | Pantry,0.057824865968853716,Dairy & Eggs | Meat & Seafood | Produce,0.13760531018636712,0.02195557824865969,0.37969094922737306,2.759275413958479,"Bakery, Beverages, Pantry -> Dairy & Eggs, Meat & Seafood, Produce"
