antecedents,antecedent support,consequents,consequent support,support,confidence,lift,rule
Personal care,0.056037784018381415,Pantry,0.19734490681644115,0.02004084758743937,0.3576309794988611,1.8122128676546427,Personal care -> Pantry
Pantry,0.19734490681644115,Personal care,0.056037784018381415,0.02004084758743937,0.10155239327296249,1.8122128676546427,Pantry -> Personal care
Personal care,0.056037784018381415,Household,0.3026550931835588,0.027955067653816695,0.4988610478359909,1.648282348691334,Personal care -> Household
Household,0.3026550931835588,Personal care,0.056037784018381415,0.027955067653816695,0.09236609025727542,1.648282348691334,Household -> Personal care
Frozen,0.11513913709471535,Pantry,0.19734490681644115,0.036762828695430176,0.31929046563192903,1.6179311175682614,Frozen -> Pantry
Pantry,0.19734490681644115,Frozen,0.11513913709471535,0.036762828695430176,0.18628719275549807,1.6179311175682614,Pantry -> Frozen
Pantry,0.19734490681644115,Produce,0.4191983660965024,0.12254276231810059,0.6209573091849936,1.481297064602692,Pantry -> Produce
Produce,0.4191983660965024,Pantry,0.19734490681644115,0.12254276231810059,0.292326431181486,1.4812970646026917,Produce -> Pantry
Pantry,0.19734490681644115,Meat & Seafood,0.3101863671176921,0.0898646923666071,0.4553686934023286,1.4680487012814167,Pantry -> Meat & Seafood
Meat & Seafood,0.3101863671176921,Pantry,0.19734490681644115,0.0898646923666071,0.28971193415637864,1.4680487012814167,Meat & Seafood -> Pantry
Produce,0.4191983660965024,Personal care,0.056037784018381415,0.03357161092672964,0.08008526187576127,1.4291297073683686,Produce -> Personal care
Personal care,0.056037784018381415,Produce,0.4191983660965024,0.03357161092672964,0.5990888382687927,1.4291297073683684,Personal care -> Produce
Pantry,0.19734490681644115,Dairy & Eggs,0.5098289507275976,0.14271125861628797,0.723156532988357,1.4184297144293414,Pantry -> Dairy & Eggs
Dairy & Eggs,0.5098289507275976,Pantry,0.19734490681644115,0.14271125861628797,0.2799198798197296,1.4184297144293414,Dairy & Eggs -> Pantry
Meat & Seafood,0.3101863671176921,Produce,0.4191983660965024,0.1833035486341588,0.5909465020576132,1.4097061197074734,Meat & Seafood -> Produce
Produce,0.4191983660965024,Meat & Seafood,0.3101863671176921,0.1833035486341588,0.43727161997563946,1.4097061197074732,Produce -> Meat & Seafood
Frozen,0.11513913709471535,Meat & Seafood,0.3101863671176921,0.04991064590247638,0.43348115299334805,1.3974861533127114,Frozen -> Meat & Seafood
Meat & Seafood,0.3101863671176921,Frozen,0.11513913709471535,0.04991064590247638,0.16090534979423868,1.3974861533127114,Meat & Seafood -> Frozen
Pantry,0.19734490681644115,Household,0.3026550931835588,0.08322695940770998,0.4217335058214748,1.3934459234944891,Pantry -> Household
Household,0.3026550931835588,Pantry,0.19734490681644115,0.08322695940770998,0.27498945592576973,1.3934459234944891,Household -> Pantry
Prepared foods,0.05539954046464131,Meat & Seafood,0.3101863671176921,0.02387030890988001,0.4308755760368664,1.3890861163262598,Prepared foods -> Meat & Seafood
Meat & Seafood,0.3101863671176921,Prepared foods,0.05539954046464131,0.02387030890988001,0.07695473251028807,1.3890861163262598,Meat & Seafood -> Prepared foods
Personal care,0.056037784018381415,Meat & Seafood,0.3101863671176921,0.023997957620628032,0.428246013667426,1.3806087535270022,Personal care -> Meat & Seafood
Meat & Seafood,0.3101863671176921,Personal care,0.056037784018381415,0.023997957620628032,0.07736625514403293,1.3806087535270022,Meat & Seafood -> Personal care
