antecedents,antecedent support,consequents,consequent support,support,confidence,lift,rule
Root Vegetables,0.11003318866479449,Other Vegetables | Whole Milk,0.07365330610160838,0.023742660199131987,0.21577726218097446,2.929634440079296,"Root Vegetables -> Other Vegetables, Whole Milk"
Other Vegetables | Whole Milk,0.07365330610160838,Root Vegetables,0.11003318866479449,0.023742660199131987,0.32235701906412473,2.9296344400792957,"Other Vegetables, Whole Milk -> Root Vegetables"
Pip Fruit,0.07633392902731682,Tropical Fruit,0.1041613479703855,0.02042379371968343,0.26755852842809363,2.568693029051085,Pip Fruit -> Tropical Fruit
Tropical Fruit,0.1041613479703855,Pip Fruit,0.07633392902731682,0.02042379371968343,0.19607843137254902,2.568693029051085,Tropical Fruit -> Pip Fruit
Root Vegetables | Whole Milk,0.04991064590247638,Other Vegetables,0.1922389583865203,0.023742660199131987,0.47570332480818417,2.474541730775109,"Root Vegetables, Whole Milk -> Other Vegetables"
Other Vegetables,0.1922389583865203,Root Vegetables | Whole Milk,0.04991064590247638,0.023742660199131987,0.12350597609561752,2.474541730775109,"Other Vegetables -> Root Vegetables, Whole Milk"
Citrus Fruit,0.08360990553995405,Tropical Fruit,0.1041613479703855,0.02004084758743937,0.23969465648854962,2.301186199670708,Citrus Fruit -> Tropical Fruit
Tropical Fruit,0.1041613479703855,Citrus Fruit,0.08360990553995405,0.02004084758743937,0.19240196078431374,2.301186199670708,Tropical Fruit -> Citrus Fruit
Root Vegetables,0.11003318866479449,Other Vegetables,0.1922389583865203,0.047995915241256064,0.4361948955916473,2.2690244436022344,Root Vegetables -> Other Vegetables
Other Vegetables,0.1922389583865203,Root Vegetables,0.11003318866479449,0.047995915241256064,0.249667994687915,2.2690244436022344,Other Vegetables -> Root Vegetables
Other Vegetables | Whole Milk,0.07365330610160838,Yogurt,0.13709471534337503,0.022466173091651775,0.3050259965337955,2.2249289169885977,"Other Vegetables, Whole Milk -> Yogurt"
Yogurt,0.13709471534337503,Other Vegetables | Whole Milk,0.07365330610160838,0.022466173091651775,0.1638733705772812,2.2249289169885977,"Yogurt -> Other Vegetables, Whole Milk"
Whole Milk | Yogurt,0.056803676282869545,Other Vegetables,0.1922389583865203,0.022466173091651775,0.3955056179775281,2.057364549293463,"Whole Milk, Yogurt -> Other Vegetables"
Other Vegetables,0.1922389583865203,Whole Milk | Yogurt,0.056803676282869545,0.022466173091651775,0.11686586985391767,2.057364549293463,"Other Vegetables -> Whole Milk, Yogurt"
Other Vegetables | Yogurt,0.04288996681133521,Whole Milk,0.25555271891753895,0.022466173091651775,0.5238095238095238,2.0497121925693356,"Other Vegetables, Yogurt -> Whole Milk"
Whole Milk,0.25555271891753895,Other Vegetables | Yogurt,0.04288996681133521,0.022466173091651775,0.08791208791208792,2.0497121925693356,"Whole Milk -> Other Vegetables, Yogurt"
Whipped/Sour Cream,0.07275976512637222,Yogurt,0.13709471534337503,0.02042379371968343,0.2807017543859649,2.047502368584403,Whipped/Sour Cream -> Yogurt
Yogurt,0.13709471534337503,Whipped/Sour Cream,0.07275976512637222,0.02042379371968343,0.14897579143389197,2.047502368584403,Yogurt -> Whipped/Sour Cream
Other Vegetables,0.1922389583865203,Whipped/Sour Cream,0.07275976512637222,0.028593311207556805,0.14873837981407703,2.0442394166025957,Other Vegetables -> Whipped/Sour Cream
Whipped/Sour Cream,0.07275976512637222,Other Vegetables,0.1922389583865203,0.028593311207556805,0.3929824561403509,2.0442394166025952,Whipped/Sour Cream -> Other Vegetables
Tropical Fruit,0.1041613479703855,Yogurt,0.13709471534337503,0.028593311207556805,0.27450980392156865,2.0023368751597475,Tropical Fruit -> Yogurt
Yogurt,0.13709471534337503,Tropical Fruit,0.1041613479703855,0.028593311207556805,0.2085661080074488,2.0023368751597475,Yogurt -> Tropical Fruit
Butter,0.055782486596885374,Whole Milk,0.25555271891753895,0.027955067653816695,0.5011441647597253,1.961020672691153,Butter -> Whole Milk
Whole Milk,0.25555271891753895,Butter,0.055782486596885374,0.027955067653816695,0.10939060939060938,1.961020672691153,Whole Milk -> Butter
Tropical Fruit,0.1041613479703855,Root Vegetables,0.11003318866479449,0.02233852438090375,0.21446078431372548,1.9490554342386606,Tropical Fruit -> Root Vegetables
Root Vegetables,0.11003318866479449,Tropical Fruit,0.1041613479703855,0.02233852438090375,0.20301624129930393,1.9490554342386606,Root Vegetables -> Tropical Fruit
