OrderID,CustomerID,Country,Product,Category,Subcategory,Quantity,UnitPrice_AED,LineTotal_AED
1,C002507,United Arab Emirates,Citrus Fruit,Produce,Fruit,1,5.73,5.73
1,C002507,United Arab Emirates,Semi-Finished Bread,Bakery,Bread & baked goods,1,5.73,5.73
1,C002507,United Arab Emirates,Margarine,Dairy & Eggs,Butter & spreads,1,7.07,7.07
1,C002507,United Arab Emirates,Ready Soups,Pantry,Convenience,3,10.35,31.05
2,C001390,Qatar,Tropical Fruit,Produce,Fruit,1,7.68,7.68
2,C001390,Qatar,Yogurt,Dairy & Eggs,Dairy/eggs,1,3.08,3.08
2,C001390,Qatar,Coffee,Beverages,Non-alcoholic,1,49.07,49.07
3,C003181,Saudi Arabia,Whole Milk,Dairy & Eggs,Dairy/eggs,1,5.14,5.14
4,C000184,United Arab Emirates,Pip Fruit,Produce,Fruit,1,8.05,8.05
4,C000184,United Arab Emirates,Yogurt,Dairy & Eggs,Dairy/eggs,6,3.1,18.6
4,C000184,United Arab Emirates,Cream Cheese ,Dairy & Eggs,Dairy/eggs,1,8.97,8.97
4,C000184,United Arab Emirates,Meat Spreads,Meat & Seafood,Deli & processed,1,35.36,35.36
5,C001725,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,3,7.51,22.53
5,C001725,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.53,8.53
5,C001725,United Arab Emirates,Condensed Milk,Dairy & Eggs,Milk & cream,1,7.89,7.89
5,C001725,United Arab Emirates,Long Life Bakery Product,Bakery,Bread & baked goods,1,5.76,5.76
6,C001687,Qatar,Whole Milk,Dairy & Eggs,Dairy/eggs,1,8.37,8.37
6,C001687,Qatar,Butter,Dairy & Eggs,Dairy/eggs,1,9.17,9.17
6,C001687,Qatar,Yogurt,Dairy & Eggs,Dairy/eggs,4,3.84,15.36
6,C001687,Qatar,Rice,Pantry,Staples,3,13.7,41.1
6,C001687,Qatar,Abrasive Cleaner,Household,Cleaning & laundry,1,18.05,18.05
7,C002424,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,2,4.46,8.92
8,C001960,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,8.35,8.35
8,C001960,United Arab Emirates,Uht-Milk,Dairy & Eggs,Dairy/eggs,1,6.08,6.08
8,C001960,United Arab Emirates,Rolls/Buns,Bakery,Bread & baked goods,1,4.9,4.9
8,C001960,United Arab Emirates,Bottled Beer,Beverages,Alcohol,1,39.53,39.53
8,C001960,United Arab Emirates,Liquor (Appetizer),Beverages,Alcohol,1,43.97,43.97
9,C002417,United Arab Emirates,Pot Plants,Household,Garden,1,14.26,14.26
10,C000271,United Arab Emirates,Whole Milk,Dairy & Eggs,Dairy/eggs,2,7.19,14.38
10,C000271,United Arab Emirates,Cereals,Pantry,Staples,1,10.31,10.31
11,C001960,United Arab Emirates,Tropical Fruit,Produce,Fruit,1,11.12,11.12
11,C001960,United Arab Emirates,Other Vegetables,Produce,Vegetables & herbs,1,7.15,7.15
11,C001960,United Arab Emirates,White Bread,Bakery,Bread & baked goods,1,5.05,5.05
11,C001960,United Arab Emirates,Bottled Water,Beverages,Non-alcoholic,2,39.01,78.02
