antecedents,antecedent support,consequents,consequent support,support,confidence,lift,rule
Fresh meat,0.18202706152667858,Vegetables & herbs,0.28184835333163133,0.09509828950727597,0.5224403927068724,1.8536222991239304,Fresh meat -> Vegetables & herbs
Vegetables & herbs,0.28184835333163133,Fresh meat,0.18202706152667858,0.09509828950727597,0.3374094202898551,1.8536222991239304,Vegetables & herbs -> Fresh meat
Frozen foods,0.07965279550676538,Fresh meat,0.18202706152667858,0.02655093183558846,0.3333333333333333,1.831229546517064,Frozen foods -> Fresh meat
Fresh meat,0.18202706152667858,Frozen foods,0.07965279550676538,0.02655093183558846,0.1458625525946704,1.831229546517064,Fresh meat -> Frozen foods
Butter & spreads,0.06242021955578249,Fresh meat,0.18202706152667858,0.02016849629818739,0.3231083844580777,1.7750568610410806,Butter & spreads -> Fresh meat
Fresh meat,0.18202706152667858,Butter & spreads,0.06242021955578249,0.02016849629818739,0.11079943899018234,1.7750568610410806,Fresh meat -> Butter & spreads
Condiments & spreads,0.06139902986979832,Vegetables & herbs,0.28184835333163133,0.029869798315037017,0.48648648648648646,1.726057579318449,Condiments & spreads -> Vegetables & herbs
Vegetables & herbs,0.28184835333163133,Condiments & spreads,0.06139902986979832,0.029869798315037017,0.10597826086956522,1.7260575793184487,Vegetables & herbs -> Condiments & spreads
Frozen foods,0.07965279550676538,Vegetables & herbs,0.28184835333163133,0.03842226193515445,0.4823717948717949,1.7114586236529172,Frozen foods -> Vegetables & herbs
Vegetables & herbs,0.28184835333163133,Frozen foods,0.07965279550676538,0.03842226193515445,0.13632246376811594,1.7114586236529172,Vegetables & herbs -> Frozen foods
Butter & spreads,0.06242021955578249,Vegetables & herbs,0.28184835333163133,0.02999744702578504,0.48057259713701433,1.7050750570522513,Butter & spreads -> Vegetables & herbs
Vegetables & herbs,0.28184835333163133,Butter & spreads,0.06242021955578249,0.02999744702578504,0.10643115942028987,1.7050750570522513,Vegetables & herbs -> Butter & spreads
Staples,0.11322440643349502,Fresh meat,0.18202706152667858,0.03484809803420985,0.3077790304396843,1.6908421630185742,Staples -> Fresh meat
Fresh meat,0.18202706152667858,Staples,0.11322440643349502,0.03484809803420985,0.1914446002805049,1.6908421630185742,Fresh meat -> Staples
